会社名,URL,所在地,募集内容
キヨスル,https://kiyosuru.co.jp/パートナー募集/,大阪府大阪市,HTML・CSS・WordPressを中心としたコーディング。
クエストデザイン,https://theopenphotoproject.org/company/partner.html,東京都荒川区,外部コーダーを募集。
グッドラフ,https://goodlaugh.co.jp/recruit/,兵庫県神戸市,フロントエンド・エンジニアを募集。
GRAPHITICA（グラフィティカ）,https://graphitica.com/partner/,東京都渋谷区,個人・法人のコーダーを募集。
GRAPHIC WAVE（グラフィック ウェイヴ）,https://www.graphicwave.jp/recruit/,大阪府・東京都,コーダーを募集。個人・法人不問。
クリップ,https://www.qlip.co.jp/partner/#job01,東京都目黒区,フロンエンジニアを募集。実務3年以上のマークアップとSEOスキル必須。
クロスシード,https://x-seed.co.jp/partner/,東京都港区,都内で打ち合わせ可能なWebコーダーを募集。法人・フリーランス不問。
桑原敬事務所,https://www.web-company.jp/recruit/partner/,福岡県福岡市,xhtml+cssによるWEBサイトの構築ができる方を募集。フリーランス（SOHO）・法人不問。
ケー・アンド・エフ コンピュータサービス,https://www.kfcs.co.jp/partner/,長野県長野市,HTMLコーディング。
原色美術印刷社,https://www.media-labo.biz/contact/mail.cgi?id=staff,広島県広島市,HTMLコーディング、CSSコーディング。個人・法人不問。
コアネット,https://www.coa2.co.jp/freelance.html,栃木県小山市,コーダー（マークアップエンジニア）を募集。
ゴーメディア,https://gomedia.jp/partner/,北海道札幌市,コーディング。個人・法人・副業不問。
ここラボ,https://kokorokarada.net/partner.html,福岡県大野城市,コーダーを募集。単品通販での実務経験が5年以上ある方。
ゴッタライド,https://www.gotta-ride.com/partner,岐阜県岐阜市,コーダーを募集。
CoBeat ビジュアル・コミュニケーション,https://cobeat.com/kyouryoku,愛知県海部郡,コーダー。プロ・経験者限定。ただし、未経験でも真剣に取り組める学生は可。
コモテック,https://comotec.ne.jp/partner/,愛媛県松山市,HTMLコーディング。個人・法人不問。
コンパス/アンドワン,https://compass.jp.net/partner/,神奈川県厚木市,外部コーダー（Wordpress・PHP・HTML・CSS・レスポンシブ）を募集。
三幸企画,https://www.sankokikaku.co.jp/recruit/partner/,東京都千代田区,Webコーダーを募集。企業・業務請負・SOHO・フリーランスなど業種業態は不問。
サンボンデザイン,https://www.san-bon.com/recruit.html,東京都豊島区,コーダーを募集。
サンヨー,https://www.sanyo-grp.co.jp/recruit/,東京都千代田区,HTMLコーディング。法人・個人事業主（フリーランス）不問。
シーデックスデザイン,http://seedexdesign.com/recruit.html,神奈川県相模原市,HTMLコーダーを常時募集。
シェアコーポレーション,https://www.cher-corp.com/#section4,東京都北区,HTML/XHTMLのマークアップ。文書構造のデザイン、CSSの設計。個人・法人不問。
ジェー・ピー・シー,https://www.jpc-ltd.co.jp/contents/friend/,京都府京都市,WEBコーディング。個人・法人不問。
シシハクト,https://shishihakuto.co.jp/contact/partner/,大阪府・東京都,Webコーディングができる協業パートナーを募集。
シスコム,https://www.gohp.jp/overview/partner/,東京都中央区,フロントエンドエンジニア／HTMLコーダーを募集。個人・企業不問。
システム・アシスト,https://www.system-assist.com/partner/,東京都大田区,個人・SOHO・企業のコーディングスタッフ（HTML・CSS・js）を募集。
システムクエスト,https://coding-kobo.com/contact/partner,東京都豊島区,Webコーダーを募集。個人・法人不問。
ショウイン,https://www.showin.co.jp/create_partner/,福岡県福岡市,HTMLコーディングができる制作パートナーを募集。
スイッチ,https://switch.am/partners-contact/,岡山県岡山市,フロントエンドエンジニアを募集。
souper（スーパー）,http://souper.co.jp/採用情報/,東京都台東区,XHTML+CSSコーディング。SOHO・法人を募集。
スタニング,https://stunning-inc.jp/,愛知県名古屋市,フロントエンドエンジニアを募集。企業も可。
StockSun,https://stock-sun.com/recruit/jobs/,東京都新宿区,実務経験が1年以上あるフロントエンドエンジニアを募集。
すまいる住新,https://www.smile-j.jp/recruit02/,埼玉県所沢市,コーディングができる方を募集。
総広,https://soko-ad.co.jp/partner/,鹿児島県鹿児島市,HTMLコーディング。
創童舎,https://www.smteb.com/sodosha/recruit/,宮城県仙台市,外部コーダーを募集。
巧創,https://www.comtaku.co.jp/recruit_out.html,愛知県名古屋市,コーダー。プロダクション・フリー不問。
ダブルアールジー,https://www.rrg.jp/outsourcing/,東京都中野区,コーディングができるパートナーを募集。法人・個人・SOHO・フリーランス不問。
チビコ,https://chibico.co.jp/partner/,東京都目黒区,フロントエンジニアを募集。個人・法人不問。
九十九PROJECT,https://99project.jp/recruit/,神奈川県横浜市,htmlコーディング。
Tier World,https://tierworld.co.jp/recruit/,東京都渋谷区,フロントエンドエンジニアを募集。
DKPR,https://dkpr.jp/partner/,東京都港区,コーディングスキル（HTML、CSS、Javascript、jQueryなど）のある方を募集。
ディスプレイ,https://dis-play.net/recruit/,東京都渋谷区,フロントエンドエンジニアを募集。フルリモート・法人も可。
TYRANNO CREATIVE ARTS,https://tyranno-ca.co.jp/recruit/,埼玉県さいたま市,コーダーを募集。Wordpressの改修やページ追加作業など。
デカフ,https://de-caf.net/求める人/,東京都千代田区,拠点が都内近郊で来社可能なコーダーを募集。個人・企業不問。
デザイン情報,https://diinc.co.jp/recruit-partner/,埼玉県戸田市,コーダーを募集。
デライトアーツ,https://delightarts.com/partner,東京都新宿区,マークアップエンジニアを募集。個人・法人不問。
12Grid（トゥエルブグリッド㼉,https://12grid.co.jp/partner/,北海道札幌市,HTMLコーディング。個人・法人不問。
トップ,https://topweb.co.jp/partners/,東京都板橋区,HTMLコーディング。個人・法人不問。
トライアンフ,https://www.triumph.co.jp/,兵庫県西宮市,HTMLコーダーを募集。個人・法人不問。
トライス,https://trais.co.jp/partner/,兵庫県神戸市,HTMLコーディング。個人・法人不問。
トリム,http://www.trimdesign.co.jp/recruit.html,大阪府大阪市,フリーランス、個人事業者、法人のマークアップエンジニア、フロントエンドエンジニアを募集。
日本産業広告社,https://www.jia.co.jp/recruitment.html,東京都豊島区,Webコーダーを募集。企業も可。
ノーサイド,http://www.noside.vc/recruit/external.html,群馬県高崎市,実務経験のあるコーダーを募集。jQueryに詳しい方歓迎。
ノーツデザインオフィス,https://www.notes-design.co.jp/partner/,東京都渋谷区,コーダーを募集。
ぱあとわん,http://www.part-one.jp/job/,東京都文京区,HTMLコーダーを募集。
ハイタイム,https://www.high-time.jp/recruit.html,東京都中央区,HTMLコーダーを募集。経験の浅い方も可。
バウハウス,https://www.mymall.co.jp/production-partners,滋賀県草津市,Webサイトのコーディング。法人・フリーランスのパートナーを募集。
バニラシュガースタジオ,https://www.vanillas.jp/06_recruit.htm,東京都豊島区,HTMLコーダー。個人・法人不問。
バルクライン,https://balquline.co.jp/#sec06,愛知県名古屋市,HTMLコーダーを募集。Adobe Photoshop、Illustratorのスキルが必要。
バレンサー,https://balencer.jp/join/,大阪府大阪市,フロントエンドエンジニアを募集。
ピーシースタイル,https://pc-style.co.jp/partner.html,愛知県一宮市,HTMLコーディング。個人・法人を随時募集。
ビィー・プランニング,https://www.beplanning.co.jp/recruit/entry/entryform2.html,兵庫県西宮市,HTMLコーディング。
Hikidashi,https://hiki-dashi.jp/contact/recruit-form/,東京都渋谷区,正社員・ストックメンバーのWebコーダーを募集。
フィールビー,https://feelbee.jp/partners,東京都目黒区,コーダーを募集。
フードページ,https://food-page.com/?page_id=2984,東京都世田谷区,正社員、限定社員、在宅ワーカー、アルバイト、外注のコーダー。海外在住者も可。
フォーラム,https://www.forum-dm.net/recruit/,東京都目黒区,Webコーダー、フロントエンドエンジニア、マークアップエンジニアを募集。
フォノクラフト,https://phono.co.jp/partner/,東京都品川区,HTML/XHTML/CSSコーダーを募集。
フブキ,https://www.fubuki.com/partner/,東京都新宿区,協力会社、フリーランスのコーダー、フロントエンドエンジニアを募集。
フラクタル,https://fractal.ne.jp/recruit/index.html,東京都千代田区,HTMLコーダーを募集。
ブレーンセンター,https://saiyo.braincenter.co.jp/data/soho.html,東京都・大阪府,HTMLコーダーを募集。
フレックス・デザインパワーズ,https://www.f-beans.co.jp/fdp/recruit_brain/,群馬県高崎市,コーダーを募集。個人・法人不問。
ベアーズネット,https://bearsnet.jp/2020/02/07/partner_wanted/,埼玉県さいたま市,マークアップ・エンジニア、フロントエンド・エンジニアを募集。
ホノカ,https://hgr.jp/2899,岡山県岡山市,外部HTMLコーダーを募集。制作会社も可。
ほむぺじ,https://homupeji.jp/partner/,北海道・東京都,HTMLコーディング。過去にコーディング実績がある方を募集。
ボンデザイン,https://bondesign.jp/recruit/,東京都八王子市,フロントエンドエンジニアを募集。
マインドファクトリー,https://www.mindfactory.co.jp/company/recruitment,愛知県名古屋市,マークアップエンジニアを募集。
マカヤ,https://www.macaya.jp/hp/partner/,福岡県福岡市,Webコーダー。フリーランス・企業の協業パートナーを募集。
マルベルデン,https://www.mulberden.com/topics/business-partner.html,東京都港区,フロントエンドエンジニア／コーダー。ギブ＆テイクを考えられるビジネスパートナーを募集。
雅,https://www.520328.jp/partner/,東京都港区,コーディング（HTML / CSS / JS含む）。
メディアクリエイツ,http://m-cre.co.jp/partner/,京都府京都市,子育て中のフロントエンドエンジニアを募集。
メディアファースト,https://media1st.net/lp/creator,東京都中央区,フロントエンドエンジニア、HTMLコーダーを募集。海外在住者も可。
メディアライズ,https://www.mediarise.com/contact/partner/,東京都港区,コーダーを募集。
monomode（モノモード㼉,https://monomode.co.jp/news/information/partner.html,北海道札幌市,フロントエンドエンジニアを募集。企業・個人不問。
ユンブル,https://www.yumble.com/stuff.html,東京都千代田区,登録制のコーダー。法人は不可。
ライツワークス,https://reizworks.info/recruit/,東京都豊島区,Webコーダーを募集。
ライトアップ,https://www.biz4.jp/partner,東京都渋谷区,マークアップエンジニア、フロントエンドエンジニア。法人・個人・SOHO・フリーランス不問。
ライム,https://www.lime78.co.jp/recruit,東京都板橋区,ホームページのデザインやコーディング、WordPress、Joomla!などのCMS構築。
ラスホート,http://www.guidenet.jp/contact/art_touroku/mailform.php,東京都台東区,在宅Webコーダーを募集。
リード・サイン,https://rede-sign.jp/partner/,宮城県仙台市,マークアップエンジニア、フロントエンドエンジニア。宮城県在住で、実務経験が2年以上ある方。
リバース,https://rebirth-ad.com/recruit/,大阪府大阪市,Webコーダーを募集。
リボンハーツクリエイティブ,https://www.rhcnet.com/recruit/,東京都千代田区,Webコーダーを募集。
リンクアップ,https://www.linkup.jp/partner/,東京都文京区,協力制作会社およびフリーランスのWebコーダーを募集。
Linqro（リンクロ）,https://www.linqro.jp/partner.html,東京都中央区,実務経験が3年以上あるWebコーダーを募集。
レイ・クリエーション,https://www.raycreation.co.jp/partner/,大阪府・東京都,HTML5、CSS3、javascriptを使用したコーディング、WordPressの構築が可能な方歓迎。
LEFANA（レファーナ）,https://lefana.net/recruit,東京都港区,フロントエンドエンジニアを募集。
ロンキワ,https://www.ronkiwa.jp/blog/partner/,東京都世田谷区,フロントエンドエンジニアを募集。
ワンクルー,https://www.one-clue.com/recruit_free_coder/,宮城県仙台市,Webコーダーを募集。
クミン,https://cumin.co.jp/news/91/,神奈川県横浜市,実務経験が2年以上ある外部フロントエンドエンジニアを募集。
