会社名	採用・募集要項から読めるリソース不足	直近の制作実績・技術傾向	社長・会社SNS／発信から読める現状	想定案件（自分が受けるなら）	工数（実働日）	見積金額（自社料金表ベース）	コーディングで貢献できる業務改善・売上貢献	次の一手	出典	情報確度
株式会社フォーティファイヴ	募集は『経験ある企画編集者』『コンテンツWEBディレクター』でフルリモート可。足りていないのはコンテンツ側の頭脳で、コーディングは元々外注前提の体制。	企画・編集／取材・撮影／原稿執筆というコンテンツ制作が本体で、そこにWeb制作（デザイン・EC・CMS開発・運用保守）とフリーペーパー、メルマガ、社内報が乗る。オウンドメディア型の案件が多く、記事テンプレとCMSの作り込みが要る。	2009年設立、代表は阿部薫。大阪福島＋東京赤坂（公開情報では大阪本社。シートの横浜表記は要確認）。編集者をフルリモートで採る＝分散体制に慣れている＝外部パートナーと組みやすい。	オウンドメディアのWordPressテーマ実装＋記事用CSSコンポーネント整備	WPテーマ一式 5.0日／記事CSS 1.5日	WPテーマ一式 ¥178,000／記事用CSSコンポーネント ¥30,000（¥3,000/h×10h）	コンテンツ制作会社の本当のコストはライター・編集者の入稿工数。見出し・囲み記事・比較表・引用・CTA・画像キャプションをGutenbergのブロック（またはショートコード）として実装すれば、編集者がHTMLを触らずに記事の見栄えを作れる。記事1本あたり15分削減×月50本＝月12.5時間の削減、と数字で置ける。これは『安く作ります』より圧倒的に通る話。	『記事入稿を編集者だけで完結させるブロック実装』を切り口に、編集部門の課題としてアプローチ	https://www.0450.jp/ , https://www.0450.jp/about/ , https://www.0450.jp/recruit/ , https://web-kanji.com/companies/0450	中（本社所在地がシート記載と相違。要確認）
ティラノ・クリエイティブ・アーツ株式会社	『埼玉のWeb制作会社求人・採用・Webデザイナー・コーダー等のパートナー募集＜在宅・リモート可＞』という専用ページが実在。小規模組織で、外部パートナー前提の運営を明言している＝入り口が開いている。	コーポレート／サービス／採用サイトが強み。飲食店・製造業・スポーツ教室・ミシン店・英会話教室・リフォーム会社・美容室など地域中小が中心。コンセプトワークやビジョン策定から入るため、テキスト量の多い“読ませる”サイトが多い。	さいたま大宮の小規模制作会社。『想いを語る』を掲げ、フリーランスWEBデザイナー向けのブランド構築スクールも運営＝発信と教育に軸足があり、制作実務は手が回りにくい構造。埼玉の地域メディアにも取り上げられている。	採用サイト制作（WordPress化オプション付き）	静的6.5日／＋WP 4.0日	静的一式 ¥228,000（トップ大¥110,000＋下層4¥60,000＋ヘッダ¥12,000＋フッタ¥8,000＋フォーム¥20,000＋アニメ¥5,000＋スライダー¥8,000＋アコーディオン¥5,000）／WP化 ¥130,000	『想いを語る』＝長文コンテンツが命なのに、長文は最も離脱される。追従目次、読了プログレス、段落ごとのスクロール演出、モバイルの行間・級数設計で読了率を上げる実装は、同社の商品価値（想いが伝わるか）そのものを底上げする。演出を足しても速度を落とさない実装ができれば、地域中小のクライアントでも表示速度で他社と差がつく。	パートナー募集ページから応募し、既存実績1本の読了率改善案（追従目次＋速度）を添える	https://tyranno-ca.co.jp/ , https://tyranno-ca.co.jp/partner/ , https://tyranno-ca.co.jp/service/recruit-site/ , https://web-kanji.com/companies/tyranno-ca	高（パートナー募集ページが実在）
株式会社サーカス	『業務急拡張に伴いデザイナー・プログラマーを募集中』と明記（デザイナーは未経験可）。未経験可まで出しているのは、頭数が足りず育てる前提に切り替えている状態＝即戦力の外部は歓迎される可能性が高い。	1990年創業の大阪の広告制作会社。ホームページ、カタログ、パンフレットなど商業広告をワンストップ。『90%以上のソリューションをデジタルで内製処理』を掲げる内製主義。近年は SNS記事自動転載『Socialsync』、LLM対応SEO／AI自動SEO対策と、自社商材のデジタル化を進行中。	35年の老舗が『LLM対応SEO』『AI自動SEO』を打ち出し、同時に急拡張で人を募集している＝新商材に人を張り替えていて、既存の制作実務が空く局面。会社としての発信は商材寄り。	コーディングの常時受け（コーポレート／販促サイト）	5.0日〜	コーポレート5P一式 ¥165,000〜／継続前提なら初回価格適用で ¥132,000	『90%内製』を掲げる会社が外に出せる工程は限られるが、コーディングは最も切り出しやすい。加えて同社が売り出す“LLM対応SEO”は実装なしには成立しない：セマンティックHTML、構造化データ（JSON-LD）、見出し階層の整合、AI検索に拾われる情報設計。この実装標準を作れる人間が入れば、新商材の納品品質がそのまま上がる＝商材の売上に直結する。未経験デザイナーを採る前提の組織なので、実装ガイドを残せる人の価値は高い。	募集中の今が接触タイミング。『LLM対応SEOの実装側（構造化データ・セマンティックHTML）を担える』という切り口で打診	https://circus.ac/ , https://circus.ac/company/ , https://circus.ac/recruit/	高（募集中の記載が実在）
株式会社 C.D.UNITED	X（@cdunitedINFO）のアカウント名が『エンタメ大好きなwebディレクター募集中！』。Web制作進行管理スタッフ、Web制作オペレーター、総務事務を募集し、正社員登用実績も掲出。ディレクターとオペレーターの両方を募集＝案件量に対し処理側が不足。	創業24年、バンダイナムコグループがメインクライアント。ガンダム、アイドルマスター、呪術廻戦、鬼滅の刃、コードギアス、ワンピース、セーラームーン、聖闘士星矢、刀剣乱舞などの版権サイト。サイトリニューアル、LP、EC構築、VRコンテンツまで。キャラクターコンテンツというセキュアな環境のWeb運用を20年以上。	社名アカウントを採用告知に使うほど採用に困っている。版権案件＝納期と規約が厳しく、途中参加のハードルが高い分、一度入れば継続する構造。	作品ごとのキャンペーンLP・特設サイトのコーディング	LP 3.5日／特設サイト 5.0〜7.0日	LP ¥125,000／特設サイト ¥165,000〜¥250,000	版権案件の消耗ポイントは『レギュレーションチェック』と『同じ構造の量産』。①クレジット表記・画像の指定サイズ・alt・禁止表現を納品前に機械的に検査するチェックスクリプト（HTML lint）を組む ②作品が変わっても使い回せる特設サイトの共通テンプレをコンポーネント化。この2つは進行管理スタッフの残業を直接削るので、募集しているポジションの負荷そのものを外から下げられる。20年運用の資産があるからこそ、型化の効果が最も大きい相手。	Xの募集に反応する形で接触し、『納品前チェックの自動化＋特設サイトのテンプレ化』を提案書1枚で送る	https://www.cdunited.net/ , https://www.cdunited.net/works.html , https://www.cdunited.net/recruit.html , https://x.com/cdunitedINFO	高
ザンシン株式会社	パートナー募集ページ（zanthing.com/partner/）を常設し、そのうち『WEB制作』のカテゴリを独立させている＝制作パートナーを継続的に探している。新卒定着率100%を打ち出して新卒採用も並行＝組織拡大中で実務が逼迫。	システム開発・DXコンサル・Webサービス／Webメディアの企画開発運用・サイト制作・デジタルマーケティング。制作専業ではなくシステム寄りで、画面数の多い管理系UIやメディアのフロント実装が発生しやすい。	2015年設立、資本金990万、代表は田中正人、千代田区神田。『Webやシステムを本当に使える状態にする』という運用寄りのスタンス。発信は採用広報（チアキャリア等）が中心。	システム案件のフロント実装（画面5〜10本）	5.0〜8.0日	5画面 ¥150,000／10画面 ¥300,000（¥3,000/h基準、画面単価 ¥30,000目安）	システム会社のフロントは『動けばいい』で書かれがちで、後から誰も触れなくなる。命名規則とコンポーネント設計を持ち込んで、社内エンジニアが引き継げる形で納品すれば、同社が売っている“運用まで面倒を見る”という価値を実装面から支えられる。バックエンド人材の時間をフロントから解放する＝人月コストの削減として説明できる。	パートナー募集ページのWEB制作枠から正規に応募（既にコンタクト済のため、応募＋既存やり取りの参照で二重に接点を作る）	https://zanthing.com/ , https://zanthing.com/partner/ , https://zanthing.com/partner/web/ , https://cheercareer.jp/companies/4708/detail	高（パートナー募集ページが実在）
フォーグローブ株式会社	アルバイト・契約社員で『Webオペレーター』を募集。オペレーター＝更新・運用作業の担い手であり、ここを募集しているということは日々の更新作業が明確に逼迫している。中途の開発経験者も積極採用中。	アクリート（東証グロース上場）のグループ会社で『ビジネスデザインカンパニー』を標榜。WEBサイトのプロジェクト運用と各種制作物をワンストップ。運用案件を多く抱える構造で、新規制作より継続更新の比重が高いとみられる。	年間休日125日（2026年予定）、服装・髪型自由、有給取得推奨、『社長から直接メンバーに相談がおりてくる』ほど経営層との距離が近い、と労働環境を前面に出した発信。人を大事にする方針＝負荷の高いオペレーション業務は外に出したい動機がある。担当は採用窓口の長瀬氏。	サイト運用・更新の巻き取り＋新規制作	運用 月10〜30h（1.5〜4.5日）／制作 5.0日	運用 ¥30,000〜¥90,000/月（¥3,000/h）／制作 ¥165,000〜	『Webオペレーターを採用する』の代わりに『更新作業そのものを減らす』を提案するのが最も価値が高い。更新頻度の高い箇所（お知らせ、実績、バナー、キャンペーン枠）をCMS化・パーツ化し、更新手順書とテンプレをセットで納品すれば、アルバイトを1人採らずに済む＝年間の人件費で効果を語れる。上場グループ企業なので、コスト削減の稟議が通りやすい形にして出すと強い。	『オペレーター採用の前に、更新作業の棚卸しとCMS化を試しませんか』という角度で再接触	https://www.fourglobe.co.jp/ , https://www.fourglobe.co.jp/recruit/ , https://www.fourglobe.co.jp/work/ , https://www.fourglobe.co.jp/recruit/web_013/	中
株式会社アイズバレル	従業員18名。Indeed／Green／Geekly／HERPと複数媒体でWEBディレクター（ECサイト構築ディレクション）やEC事務スタッフを募集。ディレクションとオペレーションを採っており、コード実装は外部調達の方針とみられる。	『ノーコードツールを用いた高品質なWeb制作』を掲げる。加えて業務効率化システム開発、ゲーム制作、クラウドファンディング支援、EC事業のワンストップ提供。上場企業から個人事業主まで対応。技術スタックがノーコード寄りなのが最大の特徴。	2018年設立、渋谷神南、代表取締役社長は飯澤絢人。ノーコードを武器にスピードと価格で戦うスタイル。事業の幅が広く、18名で回すには常に人が足りない構造。	ノーコードで賄えない箇所のカスタムコード実装＋EC構築	カスタム実装 10〜30h（1.5〜4.5日）／LP 3.5日	カスタム実装 ¥30,000〜¥90,000（¥3,000/h）／LP ¥125,000	ノーコードの限界は毎回同じ場所に出る：表示速度、独自UI、計測タグの自由度、SEOの細かい制御、外部システム連携。ここを埋められる人間は、『ノーコードで受けた案件を落とさずに納品できる保険』になる。相手の看板（ノーコード＝速い・安い）を壊さずに補完する立ち位置なので、競合ではなく味方として入れる。STUDIO/Shopify等の中でカスタムCSS・JSを書ける実例を1つ見せるのが最短。	『ノーコード案件の“ここだけコードで”を巻き取れます』という限定的な切り口で打診（全面受託を狙わない）	https://isbarrel.com/ , https://www.green-japan.com/company/10307 , https://herp.careers/careers/companies/isbarrel , https://www.geekly.co.jp/companys/data/6140/	中
株式会社アイワット	Webディレクターを継続募集（hrmos・doda・リクルートエージェント・マイナビ等）。募集内容は『Web戦略立案からサイト設計、制作、運用まで一連のディレクション』でコーダーではない＝実装は外注または兼務。残業30h・有給消化80%超と、無理な内製化はしない方針。	1958年前後創業（60年以上）、2014年に中日本印刷がアイワットを合併吸収。名古屋・東京。紙媒体が本体で、そこにWeb・プロモーション・ノベルティが乗る広告代理店に近い機能。クライアントは大学、労働組合、メーカー、流通企業。	印刷会社ルーツで社歴が長く、『風通しの良い社風』を採用広報で打ち出す。デジタル専業ではないため、Web側の技術更新は外部の知見に依存しやすい。担当は土井氏。	大学・労組系サイトの制作（アクセシビリティ要件込み）	8.0〜10.0日	10ページ規模 ¥250,000〜¥350,000（トップ大¥110,000＋下層8¥120,000＋ヘッダ¥12,000＋フッタ¥8,000＋フォーム¥20,000＋JS一式¥26,000 など）	大学・労働組合・自治体系は公共性が高く、ウェブアクセシビリティ（JIS X 8341-3／WCAG 2.1 AA）が発注要件に入り始めている。ここに対応できる実装者を持っているかどうかが受注の分かれ目になる。『アクセシビリティ対応済みで納品できる』は同社が新規案件を取るための武器になる＝売上貢献そのもの。加えて印刷データ（InDesign/Illustrator）からWebへ流用する型を作れば、紙とWebの同時受注で単価が上がる。	『大学・労組案件のアクセシビリティ対応（JIS X 8341-3）を実装で担保できる』を切り口に再接触	https://www.iwat.co.jp/ , https://hrmos.co/pages/iwat , https://hrmos.co/pages/iwat/jobs/0000111 , https://tenshoku.mynavi.jp/company/399236/	中
株式会社Bonds	従業員5名。求人の公開情報は乏しいが、アプリ／HP／EC／システム／DTP／モデルキャスティング／インフルエンサーマーケと5名で7領域を扱っており、構造的に制作の手が足りない。	2016年設立、静岡市葵区、代表は山梨忍、資本金400万。『補助金で』を打ち出しにしたHP・アプリ制作（自社アプリ基盤 appring）、クラウド見積作成システム、サロン・ドローン撮影まで。主要取引先は e-three、TIAST、KO商事、Food Forest。	FacebookページとWeb中心の発信。地域の中小企業に補助金活用を入口に提案するスタイルで、案件は小〜中規模・短納期・数で回すタイプ。	補助金活用案件のHP制作（小規模・短納期）	5.0日	5ページ一式 ¥165,000／継続前提の初回価格なら ¥132,000	補助金案件は『申請要件を満たす仕様』が決まっており、毎回似た構成になる。要件を満たす標準テンプレ（必要ページ構成・フォーム・スマホ対応・SSL等）を用意して提案から納品までの型を作れば、提案スピードが上がり採択後の着手も早い＝5名の会社が受けられる件数が増える。小規模案件は単価を上げられない代わりに回転数で稼ぐしかないので、テンプレ化が唯一の粗利改善策になる。	『補助金案件向けの標準テンプレを一緒に作る』という提案で、単発ではなく件数前提の関係を狙う	https://bonds-kizuna.com/ , https://bonds-kizuna.com/company/ , https://bonds-kizuna.com/web/ , https://web-kanji.com/companies/bonds-kizuna	中
株式会社ニコプロダクション	公開求人は限定的。Wantedlyに企業ページあり。少人数で『集客・業務効率化・採用』の経営課題まで踏み込んだ提案をしており、提案側に人を割いている分、実装は外に出しやすい。	2014年設立、東京都大田区鵜の木、代表は小西薫。コーポレートサイトとECサイトの制作に特化し、既存サイトのリニューアル実績が豊富。インターネットメディア事業、スマホアプリ制作、コンサルティングも。	Facebook（@nicopro524）で発信。『WEBサイトを有効活用できていないクライアントに対して、集客・業務効率化・採用など経営にかかわる課題の解決策を提案する』という立ち位置＝制作会社というよりコンサル寄り。	既存サイトリニューアルのコーディング（移行込み）	5.0〜7.0日	5〜8ページ ¥165,000〜¥250,000＋リダイレクト設定 ¥3,000×本数＋データ移行 ¥15,000	リニューアルの最大リスクは『公開後に検索順位と流入が落ちる』こと。旧URLの棚卸し→301リダイレクトマップ作成→構造化データとメタ情報の移植→公開後のSearch Console監視までを実装側で担保すれば、リニューアル＝売上が落ちない、を証明できる。自社料金表にリダイレクト・データ移行の項目が既にあるので、見積に自然に組み込める。リニューアル特化の会社にとってこれは最も分かりやすい差別化。	『リニューアル時のSEO維持（301設計＋計測移行）まで込みで請けられる』を切り口に提案	https://nicopro.co.jp/ , https://nicopro.co.jp/about/ , https://web-kanji.com/companies/nicopro , https://www.biz.ne.jp/corporation/10539/	中
株式会社ファースト	プログラマー（PHP／JavaScript でWebアプリ中心）とWebディレクター（Web制作・DTPの制作方針決定とチーム統括）を募集。さらに新卒採用サイト（FIRST RECRUIT 2026）を別途構築＝採用に投資中。地方（三重県鈴鹿市）で技術者を採り続けるのは難易度が高く、外部戦力の必要性が高い。	システム開発・Web制作・グラフィックデザイン・名刺／封筒／ショップカード・ネット通販・ネットワーク／インフラ構築と多角。デザインから印刷、Web開発まで一貫対応。SEO対策と公開後の継続サポートを打ち出す。	新卒採用サイトを別ドメインで運用し、2026年新卒を募集＝組織を大きくする局面。多角経営のため社員一人あたりの守備範囲が広く、標準化されていない可能性が高い。	Web制作のコーディング外注（コーポレート／サービスサイト）	5.0日	5ページ一式 ¥165,000	プログラマーがPHP／JSでWebアプリを書いている会社なので、フロント（HTML/CSS/レスポンシブ）を外に出せば技術者の時間がアプリ開発に戻る。地方で採用できない分を外注で埋める、という経済合理性が明確。さらに自社の新卒採用サイトを持っている＝採用サイト制作を商材化できる立場。採用サイトのテンプレ（募集要項・社員インタビュー・エントリーフォーム）を実装で型化すれば、地域企業向けの新商材になる。	『採用に投資している会社』という共通点を切り口に、採用サイト制作の実装パートナーとして打診	https://www.firstinc.jp/ , https://www.firstinc.jp/works/ , https://www.firstinc.jp/recruit/ , https://recruit.the-first.co.jp/	中
Webクロスネット	求人の公開情報は確認できず。茨城県常陸太田市という立地で、HP制作／業務支援システム／ECモール／電子ガイド／AR／VR／バーチャルツアー／グラフィック／ビデオ／SEO／SNSと極端に幅広い領域を扱っており、少人数で回している可能性が高い。	大規模サイトからオンラインショッピングサイトまで対応。ホームページ制作からライティング、SEO対策までトータルサポート。AR／VR／バーチャルツアーという体験系コンテンツを持つのが特徴。	公開されている発信が少なく、代表者情報も取れず。地方の総合Web会社に典型的な、営業も制作も少人数で兼務している形とみられる。	HP制作のコーディング外注	5.0日	5ページ一式 ¥165,000／継続前提の初回価格なら ¥132,000	守備範囲が広すぎる会社は必ず制作物の品質と作り方がばらつく。共通のコーディング規約とコンポーネント集をこちら側で持ち込み、テンプレ納品すれば制作速度が上がる。また同社の武器であるAR／VR／バーチャルツアーは、Web側の埋め込み実装（iframe最適化、遅延読込、モバイル対応）が甘いと体験が壊れる。ここを実装で担保できると、同社の一番の売り物の完成度が上がる＝受注につながる。	まず公式サイトを直接確認して実体を掴む（公開情報が薄く、確度が最も低い1社）	https://www.xrosnet.com/service/web/ , https://web-kanji.com/companies/xrosnet	低（公開情報が乏しい。要サイト直接確認）
有限会社クリフト	『プログラミングのスキルを伸ばしたい人』向けにプログラマーを募集（千葉県船橋市）。募集はプログラマーであってデザイナー・コーダーではない＝表側の実装は手薄。	1993年設立で30年、代表は小柳雅和、資本金300万、千葉県船橋市。iPhone／Androidアプリ開発が主軸で、予約・会計・ECなどのWebシステム、Windowsアプリの受託開発、システム開発関連のITサポート。船橋を中心とした中小企業支援。	Facebookページあり。30年地域の中小企業を支えてきた老舗で、発信は控えめ。技術はネイティブアプリとシステムに寄っており、Webのフロント表現は専門外の可能性が高い。	システム・アプリのフロント／管理画面UI実装＋サービス紹介ページ	5画面で5.0日／LP 3.5日	管理画面UI 5画面 ¥150,000（¥30,000/画面）／サービス紹介LP ¥125,000	アプリ・システムが本体の会社では、UIが機能優先で作られ、使いにくさがそのまま問い合わせ・サポートコストになる。予約・会計・ECという業務システムこそ、入力フォームの設計（エラー表示、必須項目、モバイルのタップ領域、キーボード種別の指定）を整えるだけで現場の入力ミスと問い合わせが減る。『デザインを綺麗にする』ではなく『現場のオペレーションミスを減らす実装』として話すと、システム会社には通りやすい。	アプリ／システムの紹介LPという入りやすい単発から接触し、管理画面UIへ広げる	https://www.creft.co.jp/ , https://web-kanji.com/companies/creft , https://baseconnect.in/companies/6249e82b-f820-4f2b-b804-984ad38e96e6	中
株式会社イリュージョン	自社採用サイト（illusion-p.jbplt.jp）で4件の求人を掲出、WEBデザイナー職を含む。従業員10名でIT事業部と食品事業部を兼営しており、制作リソースは慢性的に薄い。※シート上は既に「見送り」。	2006年設立、福岡市中央区。IT事業部でWebサイト制作・ITコンサル・印刷物制作、食品事業部で漬物の製造販売。制作実績は医療機関が中心で、脳神経外科・耳鼻科・内科・整形外科・薬局など。医療サイトはパターンが定型化しやすい。	IT＋漬物という異色の二事業。発信は控えめ。医療特化で地域に根ざした受注構造とみられる。	クリニックサイトの量産（共通テーマ化）	1件目 5.0日／2件目以降 3.5日	1件目 ¥165,000／共通テーマ流用の2件目以降 ¥120,000	医療サイトは構成（診療案内・医師紹介・アクセス・診療時間表・お問い合わせ）がほぼ固定。共通テーマ＋カスタムフィールドで1件目を作り込めば、2件目以降の原価が半減する。加えて医療広告ガイドライン（誇大表現・体験談・術前術後写真の制限）に抵触する記述を納品前にチェックする仕組みを実装に組み込めば、同社のリスク管理そのものを引き受けられる。食品事業部の漬物ECも、カート改善・商品ページのテンプレ化で売上に直結する提案余地がある。	見送り済のため今期は追わない。医療テーマの量産テンプレを作ってから再打診	https://illusion-p.com/ , https://illusion-p.com/category/works/ , https://illusion-p.com/recruit/ , https://illusion-p.jbplt.jp/	中（見送り済）
株式会社唐沢農機サービス（現：コア・イノベーション株式会社）	マイナビ転職で14件の求人を掲出し、採用イベントも定期開催。Web事業部『ビーズクリエイト』でWeb戦略アドバイザー等を募集し、AIと最新マーケ手法で長野・近県の中小企業の課題解決を担う人材を求めている。採用の絶対量が多く、拡大局面。※シート上はお祈りメール（D）済。	農機（新品・中古販売、修理・再生）とWeb事業の二本柱。Web側はWEBコンサル、マーケ支援、農機流通支援サイト、ECサイト、情報メディア運営。事業会社が自社のためにWebを内製化し、それを外販している構造。	社名を『コア・イノベーション株式会社』へ変更している（要確認）。長野県上田市。社名変更＝ブランド刷新期であり、コーポレートサイトや各事業サイトの改修需要が発生しやすいタイミング。	ビーズクリエイト経由の制作外注（地域中小向けサイト）	5.0日	5ページ一式 ¥165,000／継続前提の初回価格なら ¥132,000	地方の中小企業向けは予算上限が明確なので、1本ごとに作り込むと合わない。共通テンプレ＋差分実装で短納期・定額で出せる型を持ち込むのが唯一の解。さらに社名変更に伴うブランド刷新は、コーポレート・採用・各事業サイトの一斉更新という“まとまった仕事”が発生する数少ないタイミング。ここに合わせて提案すると単発ではなく複数本の話になる。	再アプローチ時は必ず新社名で。社名変更を切り口に『ブランド刷新に伴う複数サイト更新』を提案	https://www.karasawanouki.co.jp/ , https://tenshoku.mynavi.jp/company/277546/joblist/ , https://en-gage.net/karasawanouki/ , https://www.green-japan.com/company/3236	中（社名変更は要一次確認）
株式会社サンアンドムーン	公式ニュースで『WEBデザイナーの外部パートナーを募集しています』と明示（共に成長し合えるビジネスパートナーとして）。会社側から外部パートナーを公募している＝入り口が最も開いている1社。※シート上は既に「見送り」。	1976年設立で約50年、代表は中谷浩和、東京都渋谷区宮益坂。HP運営コンサル、サイト構築・運用・保守、ECサイト企画構築、Shopify構築、Web広告運用代行、SEO、UI/UX設計、グラフィック／DTP。Shopifyを明示している点が技術的な特徴。	Facebookページで発信。50年の老舗が『共に成長し合えるビジネスパートナー』という言い方で外部を募集しており、内製だけでは回らない状態を素直に出している。	Shopifyテーマのカスタマイズ＋コーポレートサイト制作	Shopifyカスタム 30h（4.5日）／コーポレート 5.0日	Shopifyカスタム ¥90,000〜（¥3,000/h×30h）／コーポレート5ページ ¥165,000	Shopifyは『テーマを入れて終わり』にすると、運用側が商品ページの構成を変えるたびに制作会社を呼ぶことになる。Liquidのセクション／ブロック設計を整えて管理画面から並び替え・追加できる状態にすれば、クライアント自身が売り場を作れる＝EC売上の改善サイクルが速くなり、同社の運用工数も減る。ECは売上への貢献が数字で出る唯一の領域なので、成果を語りやすい。	見送り済だが、公式のパートナー募集ページから改めて正規ルートで応募し直す（営業ではなく応募として入る）	https://sun-moon.ne.jp/ , https://sun-moon.ne.jp/news/web%E3%83%87%E3%82%B6%E3%82%A4%E3%83%8A%E3%83%BC%E3%81%AE%E5%A4%96%E9%83%A8%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC%E3%82%92%E5%8B%9F%E9%9B%86%E3%81%97%E3%81%A6%E3%81%84%E3%81%BE%E3%81%99/ , https://web-kanji.com/companies/sun-moon	高（外部パートナー募集の告知が実在）
共立コミュニケーションズ株式会社	採用ページで『KCCで働く先輩社員が経験した仕事のレポート』を掲載し、社風を伝える形の採用広報を実施。Web専任というより総合職採用で、Web制作は複数事業のうちの一部門＝専任のコーダーは薄いとみられる。※シート上は既に「見送り」。	東京都千代田区飯田橋。広告・Web・映像・印刷物・イベントの企画／制作／運営を総合的にサポート。印刷物制作、広告制作・代理業、展示会企画運営、セミナー企画運営、映像制作、Web制作、プレゼンツール制作。公式サイトにWebサイトリニューアル実績ページが複数存在。	発信は自社サイトの実績・採用ページ中心。展示会・セミナー運営を持つ＝イベントごとの特設ページ需要が反復的に発生する構造。	リニューアル案件および展示会・セミナー特設ページのコーディング	5.0〜9.0日	5ページ ¥165,000／10ページ規模 ¥300,000／特設ページ単発 ¥125,000	展示会・セミナーの特設ページは『毎回似た構成を短納期で作る』仕事で、テンプレ化の効果が最大。開催情報・登壇者・タイムテーブル・申込フォームをコンポーネント化し、日付や内容を差し替えるだけで出せる状態にすれば、1本あたりの制作日数を数日単位で削減できる。イベント本数×削減日数で効果を提示できるため、稟議に載せやすい形になる。	見送り済のため優先度は低いが、展示会シーズン前（特設ページ需要が立つ時期）に『イベント特設テンプレ』提案で再接触	https://www.krcom.co.jp/ , https://www.krcom.co.jp/service/web/ , https://www.krcom.co.jp/recruit/ , https://www.krcom.co.jp/service/web/work018.html	中（見送り済）
株式会社神戸デザインセンター	Facebookで正社員（まちづくり・イベント運営／管理スタッフ）を募集（2024年11月時点）。募集職種がWeb実装側ではない＝デザインとまちづくりが本体で、コーディングは外部依存。担当は木之下氏。	神戸市中央区三宮。ロゴ制作、プロダクトブランディング、各種印刷物のデザイン企画・制作が中心。加えてWEBデザイン、コミュニティデザイン、イベント企画・提案、共創支援（DX含む）。グラフィック起点でWebに展開するタイプ。	『多様なスタッフがそれぞれの強みと興味を活かしてアウトプットする』というスタンス。地域・コミュニティ・共創を掲げており、行政や地域団体との案件が想定される＝イベントごとの特設サイト需要が反復する。	デザイン主導のコーポレート／特設サイトのコーディング	5.0日／LP 3.5日	5ページ一式 ¥165,000／LP ¥125,000	グラフィック起点のデザインは、フォント・級数・字間・余白の再現難度が高く、実装で崩れると発注側の不満が最も出る領域。ここを1pxで再現できることが最大の売り。Web フォントの選定と読み込み最適化（font-display、サブセット化）まで踏み込めば、デザインの意図を保ったまま速度も守れる。また地域・コミュニティ案件はイベントごとに特設ページが必要になるため、共通テンプレを作れば反復受注の型になる。行政系ならアクセシビリティ対応も要件になり得る。	『グラフィックデザインの再現度』を軸に、既存実績1本のデザイン再現デモを作って送る	https://kobe-design.co.jp/ , https://kobe-design.co.jp/works/ , https://kobe-design.co.jp/about/ , https://www.facebook.com/KobeDesignCenter/	中
