会社名,URL,1行目,2行目,種別,根拠原文（要確認）,出典,確度
アルカミクス総合研究所,https://arcamix.jp/partner/,貴社が掲げる「空気（AIR）のように、目に見えないが なくてはならない存在」という言葉に、強く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,空気（AIR）のように、目に見えないが なくてはならない存在,"https://arcamix.jp/ , https://web-kanji.com/companies/arcamix",高
アルファ―企画,https://www.alpha-planning.co.jp/partner,貴社が1982年の創業以来、群馬で38年にわたり広告デザインの仕事を続けてこられた点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,1982年の創業以来、群馬で38年にわたり広告デザインの仕事を続けてこられた,"https://www.alpha-planning.co.jp/company , https://web-kanji.com/companies/alpha-planning",高
アンクベル・ジャパン,https://www.anqbell.jp/recruit/,貴社が内閣府や外務省、文部科学省、横浜国立大学など、官公庁・国立大学の実績を数多くお持ちであることを拝見し、大変興味を持ちました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,内閣府や外務省、文部科学省、横浜国立大学など、官公庁・国立大学の実績を数多くお持ちである,"https://www.anqbell.jp/company/ , https://www.anqbell.jp/",高
ECBB,https://ecbb.co.jp/employment/,「ビジネスの手法で社会問題を解決する」という貴社の言葉に、深く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,ビジネスの手法で社会問題を解決する,"https://ecbb.co.jp/outline/ , https://ecbb.co.jp/business/",高
ICHIZA,https://www.ichiza.asia/recruit/,貴社が大切にされている「あなたの“想い”をカタチに」という言葉に、感銘を受けました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,あなたの“想い”をカタチに,"http://www.ichiza.asia/profile/ , https://www.ichiza.asia/",高
イル,https://il-design.jp/partner/,貴社が掲げる「確固たる信念をもちながら変幻自在に進化するクリエイティブ制作会社」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,確固たる信念をもちながら変幻自在に進化するクリエイティブ制作会社,"https://il-design.jp/about/ , https://il-design.jp/",高
ヴァリエ,https://varie.co.jp/#partner,「お客様から本当に信頼していただけるパートナーになること」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,お客様から本当に信頼していただけるパートナーになること,"https://varie.co.jp/ , https://www.biz.ne.jp/corporation/72942/",高
SEデザイン,https://www.sedesign.co.jp/contact-partnership/,貴社の「テクノロジーの価値が正しく理解され、誰もが活用できる社会を目指す」というお考えを拝見し、素直に惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,テクノロジーの価値が正しく理解され、誰もが活用できる社会を目指す,"https://www.sedesign.co.jp/company/ , https://web-kanji.com/companies/sedesign",高
SD WEBWORKS,https://sd-webworks.com/partner/,「成果を出すWebサイトのご提案をさせていただきます」という貴社の言葉に、深く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,成果を出すWebサイトのご提案をさせていただきます,"https://sd-webworks.com/about/ , https://web-kanji.com/companies/sd-webworks",高
エッコ,https://ecco.co.jp/partner/,貴社が大切にされている「理想をカタチにする会社」という言葉に、感銘を受けました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,理想をカタチにする会社,"https://ecco.co.jp/company/about/ , https://ecco.co.jp/company/message/",高
エルア,https://elua.jp/recruit/,貴社が掲げる「at WEB」という言葉に、強く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,at WEB,"https://elua.jp/ , https://prtimes.jp/main/html/rd/p/000000001.000088777.html",高
オレンジ社,https://www.orange-sha.co.jp/partner/,「お客様の外国語コミュニケーションの課題解決に貢献し続ける」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,お客様の外国語コミュニケーションの課題解決に貢献し続ける,"https://www.orange-sha.co.jp/company/ , https://www.orange-sha.co.jp/business/web/",高
カズミア,https://www.kazmia.jp/partner/,貴社の「“ものづくり”を通して、あなたと誰かの“ものがたり”に寄り添う会社でありたい」というお考えを拝見し、素直に惹かれました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,“ものづくり”を通して、あなたと誰かの“ものがたり”に寄り添う会社でありたい,"https://www.kazmia.jp/about/ , https://www.kazmia.co.jp/company/overview/",高
グッドラフ,https://goodlaugh.co.jp/recruit/,「お客様の心をつかむ・集客するホームページ制作」という貴社の言葉に、深く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,お客様の心をつかむ・集客するホームページ制作,"https://goodlaugh.co.jp/aboutus/ , https://prtimes.jp/main/html/rd/p/000000059.000172540.html",高
GRAPHITICA（グラフィティカ）,https://graphitica.com/partner/,貴社が大切にされている「Design all things」という言葉に、感銘を受けました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,Design all things,"https://graphitica.com/profile/ , https://graphitica.com/partner/",高
GRAPHIC WAVE（グラフィック ウェイヴ）,https://www.graphicwave.jp/recruit/,貴社が掲げる「デザインの力で新しい価値を創造する『夢のある会社」という言葉に、強く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,デザインの力で新しい価値を創造する『夢のある会社,"https://www.graphicwave.jp/aboutus/ , https://www.creators-station.jp/interview/legends/37309",高
クリップ（Qlip）,https://www.qlip.co.jp/partner/#job01,「同じ時代を生きる人が、志を追いかけ、人生に没頭できる世界をつくる」——貴社のこの一文を拝見し、心を動かされました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,同じ時代を生きる人が、志を追いかけ、人生に没頭できる世界をつくる,"https://www.qlip.co.jp/about/ , https://www.qlip.co.jp/",高
クロスシード,https://x-seed.co.jp/partner/,貴社が社員ではなくフリーランスのプロデューサー・ディレクター・エンジニアで組織を構成されていることを拝見し、大変興味を持ちました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,社員ではなくフリーランスのプロデューサー・ディレクター・エンジニアで組織を構成されている,"https://x-seed.co.jp/ , https://baseconnect.in/companies/21f23605-799f-4a1f-85dd-cbca4feeb7b0",高
桑原敬事務所（Web Company）,https://www.web-company.jp/recruit/partner/,貴社が福岡の小規模事務所でありながら、Yahoo・Google・福岡タワーといった実績を積み重ねてこられたと知り、ぜひご一緒したいと感じました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,事実ベース（要約・引用ではない）,福岡の小規模事務所でありながら、Yahoo・Google・福岡タワーといった実績を積み重ねてこられた,"https://www.web-company.jp/company/ , https://www.web-company.jp/case/",高
ケー・アンド・エフ コンピュータサービス,https://www.kfcs.co.jp/partner/,貴社が大切にされている「最先端よりも、最前線を」という言葉に、感銘を受けました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,最先端よりも、最前線を,"https://kfcs.co.jp/ , https://blog.nagano-ken.jp/nagachi/commerce-tourism/9726.html",高
原色美術印刷社（MEDIA LABO.）,https://www.media-labo.biz/contact/mail.cgi?id=staff,貴社が掲げる「集客・販売促進のプロ集団」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,集客・販売促進のプロ集団,"https://www.media-labo.biz/outline.html , https://www.genshoku.co.jp/company/index.html",高
ゴーメディア,https://gomedia.jp/partner/,貴社がSEOを強みに札幌から全国のクライアントを支援し、副業での関わり方も歓迎されていると知り、ぜひご一緒したいと感じました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,事実ベース（要約・引用ではない）,SEOを強みに札幌から全国のクライアントを支援し、副業での関わり方も歓迎されている,"https://gomedia.jp/ , https://web-kanji.com/companies/gomedia",高
ゴッタライド,https://www.gotta-ride.com/partner,貴社の「ホームページを通じて、『Make Happiness」というお考えを拝見し、素直に惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,ホームページを通じて、『Make Happiness,"https://www.gotta-ride.com/company , https://www.gotta-ride.com/",高
コモテック,https://comotec.ne.jp/partner/,「一人ではできないことも、チームだからできることに。人の力とAIでチームを強く」という貴社の言葉に、深く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,一人ではできないことも、チームだからできることに。人の力とAIでチームを強く,"https://www.comotec.ne.jp/company/ , https://www.comotec.ne.jp/",高
三幸企画,https://www.sankokikaku.co.jp/recruit/partner/,貴社が大切にされている「お客様の売上に貢献すること」という言葉に、感銘を受けました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,お客様の売上に貢献すること,"https://sankokikaku.co.jp/company/ , https://sankokikaku.co.jp/",高
サンヨー,https://www.sanyo-grp.co.jp/recruit/,貴社が1955年の設立以来、化粧品・美容医療からゲーム・アニメ、学校・教育まで幅広い分野を手がけてこられた点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,1955年の設立以来、化粧品・美容医療からゲーム・アニメ、学校・教育まで幅広い分野を手がけてこられた,"https://www.sanyo-grp.co.jp/info/company-profile/ , https://www.sanyo-grp.co.jp/",高
シェアコーポレーション,https://www.cher-corp.com/#section4,「ビジョンをシェアする」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,ビジョンをシェアする,"https://www.cher-corp.com/ , https://web-kanji.com/companies/cher-corp",高
ジェー・ピー・シー（JPC）,https://www.jpc-ltd.co.jp/contents/friend/,貴社の「ONE STOP PROMOTION」というお考えを拝見し、素直に惹かれました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,ONE STOP PROMOTION,"https://www.jpc-ltd.co.jp/company/ , https://web-kanji.com/companies/jpc-ltd",高
シシハクト,https://shishihakuto.co.jp/contact/partner/,「獅子捕兎（シシハクト）」という貴社の言葉に、深く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,獅子捕兎（シシハクト）,"https://shishihakuto.co.jp/company/ , https://shishihakuto.co.jp/about/",高
シスコム,https://www.gohp.jp/overview/partner/,貴社が大切にされている「ホームページ（Webサイト）は目的を達成するための手段の一つであり、どう活用するかが重要」という言葉に、感銘を受けました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,ホームページ（Webサイト）は目的を達成するための手段の一つであり、どう活用するかが重要,"https://www.gohp.jp/overview/ , https://www.gohp.jp/strength/",高
システム・アシスト,https://www.system-assist.com/partner/,貴社が掲げる「Assist your dreams!」という言葉に、強く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,Assist your dreams!,"https://www.system-assist.com/aboutus , https://www.system-assist.com/",高
システムクエスト（コーディング工房）,https://coding-kobo.com/contact/partner,「人を大切にするIT企業」——貴社のこの一文を拝見し、心を動かされました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,人を大切にするIT企業,"https://www.s-quest.co.jp/company/ , https://coding-kobo.com/company",高
ショウイン,https://www.showin.co.jp/create_partner/,貴社の「自立学習こそ本物教育」というお考えを拝見し、素直に惹かれました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,自立学習こそ本物教育,"https://www.showin.co.jp/gaiyo/ , https://www.showin-fc.jp/greeting/",高
スイッチ,https://switch.am/partners-contact/,「既存の価値観にとらわれることなく、まっさらな想いで発想をスイッチすることを大切にしている」という貴社の言葉に、深く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,既存の価値観にとらわれることなく、まっさらな想いで発想をスイッチすることを大切にしている,"https://switch.am/company/ , https://switch.am/service/",高
スタニング,https://stunning-inc.jp/,貴社がメーカーや商社、広告代理店など、企業間の橋渡しとなる仕事を数多く手がけられている点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,メーカーや商社、広告代理店など、企業間の橋渡しとなる仕事を数多く手がけられている,"https://stunning.co.jp/corporate/ , https://stunning-inc.jp/",高
すまいる住新,https://www.smile-j.jp/recruit02/,貴社が掲げる「お客様が集まった。使ってよかった」という言葉に、強く共感いたしました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,お客様が集まった。使ってよかった,"https://smile-j.jp/outline , https://smile-j.jp/message01",高
創童舎,https://www.smteb.com/sodosha/recruit/,「多様なクリエイティブの力で、地域にある様々な事業を事業発信・推進のお手伝いをする」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,多様なクリエイティブの力で、地域にある様々な事業を事業発信・推進のお手伝いをする,"https://sodosha.jp/ , https://baseconnect.in/companies/05032f27-bc60-4709-a63f-7a81da71000d",高
ダブルアールジー（RRG）,https://www.rrg.jp/outsourcing/,貴社が90年代のインターネット黎明期からのメンバーが中心となり、フリーランスチームから法人化された点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,90年代のインターネット黎明期からのメンバーが中心となり、フリーランスチームから法人化された,"https://www.rrg.jp/ , https://web-kanji.com/posts/rrg-interview",高
チビコ（CHIBICO）,https://chibico.co.jp/partner/,貴社がCI/VIやデザインガイドラインの策定から手がける、少数精鋭のブランディング会社でいらっしゃることを拝見し、大変興味を持ちました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,CI/VIやデザインガイドラインの策定から手がける、少数精鋭のブランディング会社でいらっしゃる,"https://chibico.co.jp/about/ , https://web-kanji.com/companies/chibico",高
ディスプレイ（DISPLAY）,https://dis-play.net/recruit/,貴社がご自身を山岳ガイドになぞらえ、不確実な時代をデザインの力で導く役割を掲げていらっしゃると知り、ぜひご一緒したいと感じました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,事実ベース（要約・引用ではない）,ご自身を山岳ガイドになぞらえ、不確実な時代をデザインの力で導く役割を掲げていらっしゃる,"https://dis-play.net/company/ , https://dis-play.net/recruit/message/",高
TYRANNO CREATIVE ARTS,https://tyranno-ca.co.jp/recruit/,貴社が掲げる「仕事の本質的な価値を発掘するWeb制作会社」という言葉に、強く共感いたしました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,仕事の本質的な価値を発掘するWeb制作会社,"https://tyranno-ca.co.jp/company/overview/ , https://attaka-saitama.com/philosophy-tyranno-creative-arts/",高
デザイン情報,https://diinc.co.jp/recruit-partner/,「お客様の成功に貢献する」——貴社のこの一文を拝見し、心を動かされました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,お客様の成功に貢献する,"https://diinc.co.jp/company/about-us/ , https://diinc.co.jp/company/message/",高
12Grid（トゥエルブグリッド）,https://12grid.co.jp/partner/,貴社の「北海道を代表するWEBシステム開発会社になる」というお考えを拝見し、素直に惹かれました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,北海道を代表するWEBシステム開発会社になる,"https://12grid.co.jp/company , https://12grid.co.jp/about/",高
トップ,https://topweb.co.jp/partners/,貴社がウェブ解析士マスターの資格を持つ代表のもと、制作だけでなく解析・改善提案まで一貫して取り組まれている点に、強く惹かれました。,WordPress実装やHTML/CSSでのデザイン再現を中心に、コーポレートサイト・採用サイト・LPを10〜30件ほど制作してきました。貴社のご制作をご一緒できればと思い、ご連絡いたしました。,事実ベース（要約・引用ではない）,ウェブ解析士マスターの資格を持つ代表のもと、制作だけでなく解析・改善提案まで一貫して取り組まれている,"https://topweb.co.jp/company/ , https://topweb.co.jp/",高
トライス,https://trais.co.jp/partner/,貴社が大切にされている「毎日を楽しく前向きに」という言葉に、感銘を受けました。,コーポレートサイトや採用サイト・LP制作を中心に10〜30件ほど携わってきた者で、HTML/CSSでのデザイン再現とWordPress実装を得意としています。貴社のお力になれればと思い、ご連絡いたしました。,直接引用（理念・想いページより）,毎日を楽しく前向きに,"https://trais.co.jp/ , https://www.biz.ne.jp/corporation/27140/",高
トリム（trim）,http://www.trimdesign.co.jp/recruit.html,貴社が掲げる「お客さまのお困りごとを共に解決することで成長を続けている」という言葉に、強く共感いたしました。,コーポレートサイト・採用サイト・LP制作の実装（HTML/CSS・WordPress・JavaScript）を10〜30件ほど経験してきました。貴社のものづくりに少しでもお役に立てればと思い、ご連絡差し上げました。,直接引用（理念・想いページより）,お客さまのお困りごとを共に解決することで成長を続けている,"http://trimdesign.co.jp/company.html , https://web-kanji.com/companies/trimdesign",高
